,item_id,category,price,sellable_online,other_colors,depth,height,width,price2
1,79305098,Bookcases & shelving units,180,TRUE,No,51,70,50,0
2,19304006,Chairs,424,TRUE,No,57,82,57,0
3,80338413,TV & media furniture,35,TRUE,Yes,31,NA,9,0
4,29304223,Tables & desks,2375,TRUE,No,NA,NA,NA,1
5,340759,Tables & desks,995,TRUE,No,NA,105,80,0
6,29174976,Chairs,545,TRUE,Yes,67,NA,67,0
7,19302917,Beds,2210,TRUE,No,40,43,140,1
8,20351515,TV & media furniture,75,TRUE,Yes,40,25,60,0
9,69157376,Wardrobes,1231,TRUE,No,50,NA,175,1
10,50420386,Tables & desks,2295,TRUE,No,NA,75,105,1
11,10423886,Tables & desks,899,TRUE,No,NA,74,80,0
12,79276388,Cabinets & cupboards,409,TRUE,No,35,60,95,0
13,20423720,Bookcases & shelving units,75,TRUE,No,NA,33,33,0
14,10267046,Outdoor furniture,575,TRUE,No,80,73,80,0
15,99228570,Children's furniture,195,TRUE,Yes,30,94,46,0
16,89299129,Bookcases & shelving units,1645,TRUE,Yes,42,128,240,1
17,89239499,Chests of drawers & drawer units,980,TRUE,No,47,145,80,0
18,49303595,Outdoor furniture,4345,TRUE,Yes,82,84,287,1
19,70245952,Cabinets & cupboards,170,TRUE,Yes,40,38,120,0
20,39266094,Beds,5840,TRUE,Yes,164,102,298,1
21,10269696,Wardrobes,1095,TRUE,No,50,171,80,1
22,89275265,Beds,1915,TRUE,No,NA,182,NA,1
23,10281354,Chairs,595,TRUE,No,36,84,38,0
24,10365457,Tables & desks,295,TRUE,No,NA,NA,60,0
25,10351441,Tables & desks,259,TRUE,No,NA,48,55,0
26,50419972,Bookcases & shelving units,175,TRUE,No,38,160,80,0
27,29248010,Chests of drawers & drawer units,1640,TRUE,Yes,47,99,160,1
28,90265246,Bookcases & shelving units,35,TRUE,No,37,NA,12,0
29,20308697,Children's furniture,320,TRUE,No,44,52,94,0
30,60308695,Children's furniture,385,TRUE,No,44,91,94,0
31,89149936,Beds,1645,TRUE,Yes,100,87,142,1
32,80217524,Tables & desks,225,TRUE,No,50,NA,90,0
33,102065,Sofas & armchairs,495,TRUE,No,NA,NA,NA,0
34,9214153,Tables & desks,175,TRUE,Yes,NA,74,60,0
35,59229915,Tables & desks,675,TRUE,No,NA,74,60,0
36,49903842,Bookcases & shelving units,231.6,TRUE,No,61,197,66,0
37,20368714,Tables & desks,1495,TRUE,Yes,NA,75,95,1
38,20336252,Sofas & armchairs,375,TRUE,Yes,NA,NA,NA,0
39,79211759,Chests of drawers & drawer units,1320,TRUE,No,47,99,120,1
40,59250756,Beds,2902,TRUE,Yes,NA,120,160,1
41,50365177,Children's furniture,129,TRUE,No,NA,48,55,0
42,70455412,Tables & desks,195,TRUE,No,35,63,50,0
43,49217772,Tables & desks,500,TRUE,No,NA,74,75,0
44,59256414,Sofas & armchairs,4545,TRUE,Yes,98,104,252,1
45,20013073,Chairs,29,TRUE,No,41,NA,42,0
46,19246144,Chairs,3555,TRUE,No,NA,74,100,1
47,49278341,Beds,895,TRUE,No,54,110,96,0
48,99305851,Wardrobes,758,TRUE,No,42,191,80,0
49,79205536,TV & media furniture,1081,TRUE,Yes,40,192,120,1
50,79221169,Chairs,685,TRUE,No,NA,NA,NA,0
51,99297484,Sofas & armchairs,1596,TRUE,Yes,90,79,200,1
52,59300092,Wardrobes,2960,TRUE,No,60,236,200,1
53,50365361,Children's furniture,29,TRUE,No,NA,NA,35,0
54,29204431,TV & media furniture,1469,TRUE,Yes,40,170,180,1
55,79217902,Beds,1841,TRUE,Yes,NA,69,212,1
56,50405338,Outdoor furniture,316,TRUE,No,75,110,58,0
57,80336433,Bookcases & shelving units,3,TRUE,Yes,27,NA,NA,0
58,99297144,Bookcases & shelving units,170,TRUE,No,51,70,50,0
59,49264872,Outdoor furniture,636,TRUE,No,NA,73,90,0
60,99300839,Bookcases & shelving units,1620,TRUE,Yes,42,192,120,1
61,30360977,Cabinets & cupboards,995,TRUE,Yes,47,172,45,0
62,49298594,Cabinets & cupboards,990,TRUE,Yes,42,39,180,0
63,80411272,Beds,1295,TRUE,No,NA,162,97,1
64,60416925,Chairs,60,TRUE,No,48,45,42,0
65,90208543,Outdoor furniture,519,TRUE,No,NA,33,71,0
66,9248855,Cabinets & cupboards,643,TRUE,No,35,60,130,0
67,30428982,Caf?furniture,596,TRUE,No,NA,74,74,0
68,49276629,Chests of drawers & drawer units,1220,TRUE,Yes,47,54,160,1
